Loiri, Vesa-Matti	Eino Leino	Suomi				
London Symphony Orchestra, The	Classic Rock	Klassinen	Kokoelma			
London Symphony Orchestra, The	Star Wars					
Maailman Kauneínta Taidemusiikkia	Osa 1	Klassinen	Kokoelma			
Maailman Kauneínta Taidemusiikkia	Osa 2	Klassinen	Kokoelma			
Maailman Kauneínta Taidemusiikkia	Osa 3	Klassinen	Kokoelma			
Maailman Kauneínta Taidemusiikkia	Osa 6	Klassinen	Kokoelma			
Madonna	You Can Dance					
Maijanen, Pave	Maailman Tuulet	Suomi				
Malopoets	Malopoets			Pöpilä		
Marley, Bob & The Wailers	Kaya					
McFerrin, Bobby	Bobby McFerrin			Pöpilä		
Miettiin	Pitäis vissiin elää	Suomi				
Miljoonasade	Lelukaupan Häät	Suomi				
Miljoonasade	Veitsen Valossa	Suomi				
Misfits	Misfits 1996-2001 "Cuts From The Crypt"					
Mitä Suomi Soittaa 12	Mitä Suomi Soittaa 12 (Syksyn sävelet)	Suomi	Kokoelma	Pöpilä		
Music For Lovers	Music For Lovers		Kokoelma			
Mustajärvi, Pate	Nyt!	Suomi				
Nelson, Willie	Georgia On My Mind					
Numero Uno	Uno			Pöpilä		
Ohio Players	Skin Tight			Pöpilä		
Orvokkeja Äidille	Orvokkeja Äidille	Suomi	Kokoelma			
Pedro's Heavy Gentlemen	Pedro's Christmas	Suomi		Pöpilä	Joulu	
Pet Shop Boys	Actually					
Piaf, Edith	Edith Piaf Her Greatest Hits					
Plicque, Christian-Charles	Maintenant C'est L'heure					
Pointer Sisters	Black & White			Pöpilä		
Popeda	Ei Oo Valoo	Suomi				
Popeda	Hallelujaa	Suomi				
Popeda	Haraŝoo	Suomi				
Popeda	Popeda	Suomi				
Popeda	Pohjantähden Alla	Suomi				
Popeda	Raakaa Voimaa	Suomi				
Poprock Special	Poprock Special	Suomi	Kokoelma			
Pöllöt	Metsäpalo	Suomi				
Quiet Music	Vol 2.	Klassinen	Kokoelma			Sleeve puuttuu
Rautavaara, Tapio	Reissumiehen taival	Suomi		Pöpilä		
Ross, Diana	Poet					Venäläinen versio
Ross, Diana	Why Do Fools Fall In Love					
Saimaa	Matka Mielen Ytimeen	Suomi				
Saturday Night Fever	The Original Movie Sound Track					
Screen Favorites	Your Favorite Movie And TV Themes		Kokoelma			
Shellac	1000 Hurts					
Sick And Tired	14 Unknown US 60's Garage Rarities		Kokoelma			
Sielun Veljet	Hei Soturit	Suomi				
Silmienvaihtajat	1985-1986	Suomi				
Soiva Joulumaa	Soiva Joulumaa	Suomi	Kokoelma		Joulu	
Soraya, Nisa	Nisa (Näytelevy)	Suomi		Pöpilä		
Sorsakoski, Topi & Agents	Besame Mucho	Suomi				
Sorsakoski, Topi & Agents	In Beat	Suomi				
Starship	Knee Deep In The Hoopla					
Summer, Donna	She Works Hard For The Money					
Suomalaisia Supertähtiä	48 Superhittiä Sikerminä	Suomi	Kokoelma			
Suomen Hitit	Suomen Hitit	Suomi	Kokoelma	Pöpilä		
Sur-Rur	Uurnapölyjen Paluu	Suomi				
Synthesizer Greatest	The Classical Masterpieces	Klassinen				
